JanDateTime,TOU_Winter,2018-01,2019-01,2020-01-01_14,2021-01-01_14,2022-01-01_14,01_Avg,AugDateTime,TOU_Summer,2018-08-01_14,2019-08-01_14,2020-08-01_14,2021-08-01_14,2022-08-01_14,08_Avg
 01/01  01:00:00,0,0.149132587076407,0.103392519383241,0.132539034963783,0.110949767404039,0.17415808288116,0.137730506793481, 08/01  01:00:00,0,0.093399495743311,0.012796557495042,0.089543256007882,0.102509623164933,0.094894495662122,0.056092727385141
 01/01  01:05:00,0,0.150056176868865,0.097764825290229,0.123602762201853,0.111321582978449,0.159840302936476,0.13199869695585, 08/01  01:05:00,0,0.093648428301262,0.012653379229363,0.089253846647805,0.107360638956051,0.097748224371002,0.057267265945061
 01/01  01:10:00,0,0.150056176868865,0.097764825290229,0.123602762201853,0.111321582978449,0.159840302936476,0.13199869695585, 08/01  01:10:00,0,0.093648428301262,0.012653379229363,0.089253846647805,0.107360638956051,0.097748224371002,0.057267265945061
 01/01  01:15:00,0,0.150056176868865,0.097764825290229,0.123602762201853,0.111321582978449,0.159840302936476,0.13199869695585, 08/01  01:15:00,0,0.093648428301262,0.012653379229363,0.089253846647805,0.107360638956051,0.097748224371002,0.057267265945061
 01/01  01:20:00,0,0.151197081906608,0.098680961537929,0.128023865568281,0.112957571505855,0.153853774736608,0.131793071490823, 08/01  01:20:00,0,0.092204619465145,0.012322279489981,0.089022319159743,0.107105322335466,0.105764316249877,0.059071629529865
 01/01  01:25:00,0,0.151197081906608,0.098680961537929,0.128023865568281,0.112957571505855,0.153853774736608,0.131793071490823, 08/01  01:25:00,0,0.092204619465145,0.012322279489981,0.089022319159743,0.107105322335466,0.105764316249877,0.059071629529865
 01/01  01:30:00,0,0.151197081906608,0.098680961537929,0.128023865568281,0.112957571505855,0.153853774736608,0.131793071490823, 08/01  01:30:00,0,0.092204619465145,0.012322279489981,0.089022319159743,0.107105322335466,0.105764316249877,0.059071629529865
 01/01  01:35:00,0,0.150545136170755,0.099727974392443,0.127271337335698,0.10990868379569,0.165427729256352,0.134196319113327, 08/01  01:35:00,0,0.091408035279701,0.012044871600228,0.087691036103388,0.099956456959082,0.10403284040404,0.057599200755473
 01/01  01:40:00,0,0.150545136170755,0.099727974392443,0.127271337335698,0.10990868379569,0.165427729256352,0.134196319113327, 08/01  01:40:00,0,0.091408035279701,0.012044871600228,0.087691036103388,0.099956456959082,0.10403284040404,0.057599200755473
 01/01  01:45:00,0,0.150545136170755,0.099727974392443,0.127271337335698,0.10990868379569,0.165427729256352,0.134196319113327, 08/01  01:45:00,0,0.091408035279701,0.012044871600228,0.087691036103388,0.099956456959082,0.10403284040404,0.057599200755473
 01/01  01:50:00,0,0.150110505680186,0.101233055370806,0.120498583242446,0.108123969038521,0.15101017384167,0.129441230234575, 08/01  01:50:00,0,0.090213159001535,0.011713771860846,0.087343744871295,0.089105500584214,0.098597930110163,0.054786266015955
 01/01  01:55:00,0,0.150110505680186,0.101233055370806,0.120498583242446,0.108123969038521,0.15101017384167,0.129441230234575, 08/01  01:55:00,0,0.090213159001535,0.011713771860846,0.087343744871295,0.089105500584214,0.098597930110163,0.054786266015955
 01/01  02:00:00,0,0.150110505680186,0.101233055370806,0.120498583242446,0.108123969038521,0.15101017384167,0.129441230234575, 08/01  02:00:00,0,0.090213159001535,0.011713771860846,0.087343744871295,0.089105500584214,0.098597930110163,0.054786266015955
 01/01  02:05:00,0,0.149023929453764,0.101429370281028,0.114666489439923,0.106785432970643,0.144125666411822,0.126421106216989, 08/01  02:05:00,0,0.090213159001535,0.011731669144056,0.087343744871295,0.087233178699923,0.096401520935351,0.054024518181805
